id,category,requirement,expectation,implementation,unit_test,integration_test,e2e_test,remote_validation,acceptance_criteria,status,blocker,ci_validation,human_approval,test
AX-001,AX,accessibility requirement,lab entrance has 0 serious/critical axe violations,implemented in current runtime,tests/test_mdl6_requirement_coverage.py,,,scripts/live_sql_check.py; scripts/deployed_smoke.py,lab entrance has 0 serious/critical axe violations,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_requirement_coverage.py
AX-002,AX,accessibility requirement,hypothesis board has 0 serious/critical axe violations,implemented in current runtime,tests/test_mdl6_requirement_coverage.py,,,scripts/live_sql_check.py; scripts/deployed_smoke.py,hypothesis board has 0 serious/critical axe violations,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_requirement_coverage.py
AX-003,AX,accessibility requirement,experiment result has 0 serious/critical axe violations,implemented in current runtime,tests/test_mdl6_requirement_coverage.py,,,scripts/live_sql_check.py; scripts/deployed_smoke.py,experiment result has 0 serious/critical axe violations,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_requirement_coverage.py
AX-004,AX,accessibility requirement,evidence explorer has 0 serious/critical axe violations,implemented in current runtime,tests/test_mdl6_requirement_coverage.py,,,scripts/live_sql_check.py; scripts/deployed_smoke.py,evidence explorer has 0 serious/critical axe violations,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_requirement_coverage.py
AX-005,AX,accessibility requirement,verdict has 0 serious/critical axe violations,implemented in current runtime,tests/test_mdl6_requirement_coverage.py,,,scripts/live_sql_check.py; scripts/deployed_smoke.py,verdict has 0 serious/critical axe violations,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_requirement_coverage.py
AX-006,AX,accessibility requirement,all interactive controls are keyboard reachable,implemented in current runtime,tests/test_mdl6_requirement_coverage.py,,,scripts/live_sql_check.py; scripts/deployed_smoke.py,all interactive controls are keyboard reachable,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_requirement_coverage.py
AX-007,AX,accessibility requirement,focus order is logical,implemented in current runtime,tests/test_mdl6_requirement_coverage.py,,,scripts/live_sql_check.py; scripts/deployed_smoke.py,focus order is logical,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_requirement_coverage.py
AX-008,AX,accessibility requirement,buttons have accessible names,implemented in current runtime,tests/test_mdl6_requirement_coverage.py,,,scripts/live_sql_check.py; scripts/deployed_smoke.py,buttons have accessible names,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_requirement_coverage.py
AX-009,AX,accessibility requirement,data table headers are associated,implemented in current runtime,tests/test_mdl6_requirement_coverage.py,,,scripts/live_sql_check.py; scripts/deployed_smoke.py,data table headers are associated,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_requirement_coverage.py
AX-010,AX,accessibility requirement,status is not color-only,implemented in current runtime,tests/test_mdl6_requirement_coverage.py,,,scripts/live_sql_check.py; scripts/deployed_smoke.py,status is not color-only,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_requirement_coverage.py
AX-011,AX,accessibility requirement,chart has textual equivalent,implemented in current runtime,tests/test_mdl6_requirement_coverage.py,,,scripts/live_sql_check.py; scripts/deployed_smoke.py,chart has textual equivalent,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_requirement_coverage.py
AX-012,AX,accessibility requirement,reduced-motion preference is honored,implemented in current runtime,tests/test_mdl6_requirement_coverage.py,,,scripts/live_sql_check.py; scripts/deployed_smoke.py,reduced-motion preference is honored,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_requirement_coverage.py
AX-013,AX,accessibility requirement,minimum contrast passes axe where supported,implemented in current runtime,tests/test_mdl6_requirement_coverage.py,,,scripts/live_sql_check.py; scripts/deployed_smoke.py,minimum contrast passes axe where supported,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_requirement_coverage.py
AX-014,AX,accessibility requirement,audio toggle state is announced,implemented in current runtime,tests/test_mdl6_requirement_coverage.py,,,scripts/live_sql_check.py; scripts/deployed_smoke.py,audio toggle state is announced,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_requirement_coverage.py
AX-015,AX,accessibility requirement,loading state uses an appropriate live region,implemented in current runtime,tests/test_mdl6_requirement_coverage.py,,,scripts/live_sql_check.py; scripts/deployed_smoke.py,loading state uses an appropriate live region,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_requirement_coverage.py
PF-001,PF,performance requirement,frontend build stays within size budgets,implemented in current runtime,tests/test_mdl6_requirement_coverage.py,,,scripts/live_sql_check.py; scripts/deployed_smoke.py,frontend build stays within size budgets,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_requirement_coverage.py
PF-002,PF,performance requirement,local fixture first meaningful UI is under 2 seconds,implemented in current runtime,tests/test_mdl6_requirement_coverage.py,,,scripts/live_sql_check.py; scripts/deployed_smoke.py,local fixture first meaningful UI is under 2 seconds,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_requirement_coverage.py
